"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","","0","0","","0"
"0","Login","0","","0","5","Login","0"
"0","Login","0","","0","6","Login validation","0"
"0","Checkout","0","","0","1","'Checkout Information' validation","0"
"0","Login","0","","0","5","Logout","0"
"0","Checkout","0","","0","1","Checkout with one product","0"
"0","Products","0","","0","1","Add to the cart","0"
"0","Products","0","","0","1","Delete from the cart","0"
"0","Checkout","0","","0","1","Cancel checkout","0"
"0","Products","0","","0","1","Sort products","0"
"0","Checkout","0","","0","1","Checkout with multiple products","0"
