"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","967","checkoutWithOneProduct","Swag Labs Test Suite","Fri May 23 13:39:34 GMT 2025","passed","Fri May 23 13:39:35 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithOneProduct"
"","1654","checkoutWithMultipleProducts","Swag Labs Test Suite","Fri May 23 13:39:30 GMT 2025","passed","Fri May 23 13:39:31 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","checkoutWithMultipleProducts"
"","679","login","Swag Labs Test Suite","Fri May 23 13:39:28 GMT 2025","passed","Fri May 23 13:39:29 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1053","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:39:41 GMT 2025","passed","Fri May 23 13:39:42 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1108","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:39:37 GMT 2025","passed","Fri May 23 13:39:38 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1257","addProductsToTheCart","Swag Labs Test Suite","Fri May 23 13:39:25 GMT 2025","passed","Fri May 23 13:39:26 GMT 2025","ProductTests","ProductTests","ProductTests","addProductsToTheCart"
"","2606","deleteProductsFromTheCart","Swag Labs Test Suite","Fri May 23 13:39:28 GMT 2025","passed","Fri May 23 13:39:31 GMT 2025","ProductTests","ProductTests","ProductTests","deleteProductsFromTheCart"
"","1139","logout","Swag Labs Test Suite","Fri May 23 13:39:46 GMT 2025","passed","Fri May 23 13:39:48 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1476","cancelCheckout","Swag Labs Test Suite","Fri May 23 13:39:26 GMT 2025","passed","Fri May 23 13:39:27 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","cancelCheckout"
"","6160","logout","Swag Labs Test Suite","Fri May 23 13:39:54 GMT 2025","passed","Fri May 23 13:40:00 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","677","login","Swag Labs Test Suite","Fri May 23 13:39:26 GMT 2025","passed","Fri May 23 13:39:27 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1133","logout","Swag Labs Test Suite","Fri May 23 13:39:50 GMT 2025","passed","Fri May 23 13:39:51 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","2112","verifyCheckoutInfoValidation","Swag Labs Test Suite","Fri May 23 13:39:37 GMT 2025","passed","Fri May 23 13:39:39 GMT 2025","CheckoutTests","CheckoutTests","CheckoutTests","verifyCheckoutInfoValidation"
"","524","login","Swag Labs Test Suite","Fri May 23 13:39:29 GMT 2025","passed","Fri May 23 13:39:30 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1151","logout","Swag Labs Test Suite","Fri May 23 13:39:48 GMT 2025","passed","Fri May 23 13:39:49 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1050","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:39:45 GMT 2025","passed","Fri May 23 13:39:46 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1134","logout","Swag Labs Test Suite","Fri May 23 13:39:52 GMT 2025","passed","Fri May 23 13:39:53 GMT 2025","LoginTests","LoginTests","LoginTests","logout"
"","1063","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:39:43 GMT 2025","passed","Fri May 23 13:39:44 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","693","sortProducts","Swag Labs Test Suite","Fri May 23 13:39:32 GMT 2025","passed","Fri May 23 13:39:33 GMT 2025","ProductTests","ProductTests","ProductTests","sortProducts"
"","708","login","Swag Labs Test Suite","Fri May 23 13:39:24 GMT 2025","passed","Fri May 23 13:39:25 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","5620","login","Swag Labs Test Suite","Fri May 23 13:39:31 GMT 2025","passed","Fri May 23 13:39:36 GMT 2025","LoginTests","LoginTests","LoginTests","login"
"","1062","Verifying login validation","Swag Labs Test Suite","Fri May 23 13:39:39 GMT 2025","passed","Fri May 23 13:39:40 GMT 2025","LoginTests","LoginTests","LoginTests","loginValidation"
"","1420","validationForLockedOutUser","Swag Labs Test Suite","Fri May 23 13:40:00 GMT 2025","passed","Fri May 23 13:40:02 GMT 2025","LoginTests","LoginTests","LoginTests","validationForLockedOutUser"
